# Identifier	Cytoplasmic effector	Apoplastic effector	Non-effector	Prediction
FUN_001464-T1 FUN_001464	-	-	Y (0.806)	Non-effector
FUN_001465-T1 FUN_001465	Y (0.716)	-	-	Cytoplasmic effector
FUN_001466-T1 FUN_001466	-	-	Y (0.985)	Non-effector
FUN_001467-T1 FUN_001467	-	-	Y (0.79)	Non-effector
FUN_001467-T2 FUN_001467	-	-	Y (0.73)	Non-effector
FUN_001468-T1 FUN_001468	-	-	Y (0.798)	Non-effector
FUN_001469-T1 FUN_001469	-	-	Y (0.989)	Non-effector
FUN_001470-T1 FUN_001470	-	-	Y (0.983)	Non-effector
FUN_001471-T1 FUN_001471	-	-	Y (0.759)	Non-effector
FUN_001471-T2 FUN_001471	Y (0.567)	-	-	Cytoplasmic effector
FUN_001472-T1 FUN_001472	Y (0.508)	-	-	Cytoplasmic effector
FUN_001473-T1 FUN_001473	-	-	Y (0.776)	Non-effector
FUN_001474-T1 FUN_001474	-	-	Y (0.983)	Non-effector
FUN_001474-T2 FUN_001474	-	-	Y (0.889)	Non-effector
FUN_001474-T3 FUN_001474	-	-	Y (0.866)	Non-effector
FUN_001474-T4 FUN_001474	-	-	Y (0.879)	Non-effector
FUN_001476-T1 FUN_001476	-	-	Y (0.624)	Non-effector
FUN_001477-T1 FUN_001477	Y (0.838)	-	-	Cytoplasmic effector
FUN_001478-T1 FUN_001478	Y (0.758)	-	-	Cytoplasmic effector
FUN_001479-T1 FUN_001479	-	Y (0.54)	-	Apoplastic effector
FUN_001480-T1 FUN_001480	-	-	Y (0.509)	Non-effector
FUN_001481-T1 FUN_001481	-	-	Y (0.719)	Non-effector
FUN_001482-T1 FUN_001482	-	-	Y (0.923)	Non-effector
FUN_001483-T1 FUN_001483	Y (0.622)	Y (0.683)	-	Apoplastic/cytoplasmic effector
FUN_001484-T1 FUN_001484	Y (0.589)	-	-	Cytoplasmic effector
FUN_001485-T1 FUN_001485	Y (0.827)	-	-	Cytoplasmic effector
FUN_001486-T1 FUN_001486	-	-	Y (0.756)	Non-effector
FUN_001487-T1 FUN_001487	-	-	Y (0.707)	Non-effector
FUN_001488-T1 FUN_001488	-	-	Y (0.733)	Non-effector
FUN_001489-T1 FUN_001489	-	-	Y (0.811)	Non-effector
FUN_001490-T1 FUN_001490	Y (0.855)	-	-	Cytoplasmic effector
FUN_001491-T1 FUN_001491	-	-	Y (0.555)	Non-effector
FUN_001492-T1 FUN_001492	-	-	Y (0.686)	Non-effector
FUN_001493-T1 FUN_001493	Y (0.796)	-	-	Cytoplasmic effector
FUN_001494-T1 FUN_001494	-	-	Y (0.95)	Non-effector
FUN_001495-T1 FUN_001495	-	-	Y (0.868)	Non-effector
FUN_001496-T1 FUN_001496	-	Y (0.594)	-	Apoplastic effector
FUN_001497-T1 FUN_001497	Y (0.553)	-	-	Cytoplasmic effector
FUN_001498-T1 FUN_001498	-	-	Y (0.81)	Non-effector
FUN_001499-T1 FUN_001499	-	-	Y (0.905)	Non-effector
FUN_001500-T1 FUN_001500	-	-	Y (0.621)	Non-effector
FUN_001501-T1 FUN_001501	Y (0.609)	-	-	Cytoplasmic effector
FUN_001502-T1 FUN_001502	Y (0.807)	-	-	Cytoplasmic effector
FUN_001503-T1 FUN_001503	-	-	Y (0.923)	Non-effector
FUN_001504-T1 FUN_001504	-	-	Y (0.594)	Non-effector
FUN_001505-T1 FUN_001505	Y (0.824)	-	-	Cytoplasmic effector
FUN_001506-T1 FUN_001506	Y (0.754)	-	-	Cytoplasmic effector
FUN_001507-T1 FUN_001507	Y (0.777)	-	-	Cytoplasmic effector
FUN_001508-T1 FUN_001508	-	-	Y (0.863)	Non-effector
FUN_001509-T1 FUN_001509	Y (0.741)	Y (0.549)	-	Cytoplasmic/apoplastic effector
FUN_001510-T1 FUN_001510	Y (0.712)	-	-	Cytoplasmic effector
FUN_001511-T1 FUN_001511	-	Y (0.627)	-	Apoplastic effector
FUN_001512-T1 FUN_001512	-	-	Y (0.697)	Non-effector
FUN_001513-T1 FUN_001513	-	-	Y (0.526)	Non-effector
FUN_001514-T1 FUN_001514	Y (0.695)	-	-	Cytoplasmic effector
FUN_001515-T1 FUN_001515	-	-	Y (0.677)	Non-effector
FUN_001516-T1 FUN_001516	-	-	Y (0.681)	Non-effector
FUN_001517-T1 FUN_001517	Y (0.519)	-	-	Cytoplasmic effector
FUN_001518-T1 FUN_001518	-	-	Y (0.651)	Non-effector
FUN_001519-T1 FUN_001519	Y (0.537)	-	-	Cytoplasmic effector
FUN_001520-T1 FUN_001520	Y (0.842)	-	-	Cytoplasmic effector
FUN_001521-T1 FUN_001521	Y (0.745)	-	-	Cytoplasmic effector
FUN_001522-T1 FUN_001522	Y (0.913)	-	-	Cytoplasmic effector
FUN_001523-T1 FUN_001523	Y (0.818)	-	-	Cytoplasmic effector
FUN_001524-T1 FUN_001524	-	-	Y (0.514)	Non-effector
FUN_001525-T1 FUN_001525	-	-	Y (0.719)	Non-effector
FUN_001526-T1 FUN_001526	Y (0.888)	-	-	Cytoplasmic effector
FUN_001527-T1 FUN_001527	-	Y (0.606)	-	Apoplastic effector
FUN_001528-T1 FUN_001528	-	-	Y (0.754)	Non-effector
FUN_001529-T1 FUN_001529	Y (0.856)	-	-	Cytoplasmic effector
FUN_001530-T1 FUN_001530	-	-	Y (0.867)	Non-effector
FUN_001530-T2 FUN_001530	-	-	Y (0.896)	Non-effector
FUN_001531-T1 FUN_001531	-	-	Y (0.966)	Non-effector
FUN_001532-T1 FUN_001532	-	-	Y (0.758)	Non-effector
FUN_001533-T1 FUN_001533	-	-	Y (0.951)	Non-effector
FUN_001533-T2 FUN_001533	-	-	Y (0.987)	Non-effector
FUN_001534-T1 FUN_001534	Y (0.856)	-	-	Cytoplasmic effector
FUN_001535-T1 FUN_001535	-	-	Y (0.888)	Non-effector
FUN_001536-T1 FUN_001536	-	-	Y (0.685)	Non-effector
FUN_001537-T1 FUN_001537	Y (0.802)	-	-	Cytoplasmic effector
FUN_001538-T1 FUN_001538	-	-	Y (0.627)	Non-effector
FUN_001539-T1 FUN_001539	-	-	Y (0.773)	Non-effector
FUN_001540-T1 FUN_001540	Y (0.746)	-	-	Cytoplasmic effector
FUN_001541-T1 FUN_001541	Y (0.502)	Y (0.536)	-	Apoplastic/cytoplasmic effector
FUN_001542-T1 FUN_001542	Y (0.523)	-	-	Cytoplasmic effector
FUN_001543-T1 FUN_001543	Y (0.669)	-	-	Cytoplasmic effector
FUN_001544-T1 FUN_001544	Y (0.877)	Y (0.635)	-	Cytoplasmic/apoplastic effector
FUN_001545-T1 FUN_001545	Y (0.779)	-	-	Cytoplasmic effector
FUN_001546-T1 FUN_001546	-	-	Y (0.889)	Non-effector
FUN_001547-T1 FUN_001547	-	-	Y (0.877)	Non-effector
FUN_001548-T1 FUN_001548	-	-	Y (0.945)	Non-effector
FUN_001549-T1 FUN_001549	-	-	Y (0.96)	Non-effector
FUN_001550-T1 FUN_001550	-	Y (0.613)	-	Apoplastic effector
FUN_001551-T1 FUN_001551	-	-	Y (0.988)	Non-effector
FUN_001552-T1 FUN_001552	-	-	Y (0.956)	Non-effector
FUN_001553-T1 FUN_001553	Y (0.709)	-	-	Cytoplasmic effector
FUN_001554-T1 FUN_001554	-	-	Y (0.922)	Non-effector
FUN_001555-T1 FUN_001555	Y (0.58)	-	-	Cytoplasmic effector
FUN_001556-T1 FUN_001556	Y (0.568)	-	-	Cytoplasmic effector
FUN_001557-T1 FUN_001557	-	-	Y (0.948)	Non-effector
FUN_001558-T1 FUN_001558	Y (0.535)	-	-	Cytoplasmic effector
FUN_001559-T1 FUN_001559	-	-	Y (0.651)	Non-effector
FUN_001560-T1 FUN_001560	-	-	Y (0.903)	Non-effector
FUN_001561-T1 FUN_001561	-	-	Y (0.954)	Non-effector
FUN_001562-T1 FUN_001562	-	-	Y (0.879)	Non-effector
FUN_001563-T1 FUN_001563	-	-	Y (0.66)	Non-effector
FUN_001564-T1 FUN_001564	-	-	Y (0.562)	Non-effector
FUN_001565-T1 FUN_001565	-	-	Y (0.803)	Non-effector
FUN_001566-T1 FUN_001566	-	-	Y (0.557)	Non-effector
FUN_001567-T1 FUN_001567	-	-	Y (0.866)	Non-effector
FUN_001567-T2 FUN_001567	-	-	Y (0.916)	Non-effector
FUN_001568-T1 FUN_001568	-	-	Y (0.935)	Non-effector
FUN_001568-T2 FUN_001568	-	-	Y (0.916)	Non-effector
FUN_001569-T1 FUN_001569	-	-	Y (0.929)	Non-effector
FUN_001570-T1 FUN_001570	-	-	Y (0.716)	Non-effector
FUN_001571-T1 FUN_001571	Y (0.661)	-	-	Cytoplasmic effector
FUN_001572-T1 FUN_001572	-	-	Y (0.947)	Non-effector
FUN_001573-T1 FUN_001573	-	-	Y (0.547)	Non-effector
FUN_001574-T1 FUN_001574	-	-	Y (0.955)	Non-effector
FUN_001575-T1 FUN_001575	-	-	Y (0.675)	Non-effector
FUN_001576-T1 FUN_001576	-	Y (0.529)	-	Apoplastic effector
FUN_001577-T1 FUN_001577	-	-	Y (0.952)	Non-effector
FUN_001578-T1 FUN_001578	-	-	Y (0.742)	Non-effector
FUN_001579-T1 FUN_001579	-	-	Y (0.72)	Non-effector
FUN_001580-T1 FUN_001580	-	-	Y (0.961)	Non-effector
FUN_001581-T1 FUN_001581	-	-	Y (0.731)	Non-effector
FUN_001582-T1 FUN_001582	-	-	Y (0.87)	Non-effector
FUN_001583-T1 FUN_001583	Y (0.554)	-	-	Cytoplasmic effector
FUN_001584-T1 FUN_001584	-	Y (0.518)	-	Apoplastic effector
FUN_001585-T1 FUN_001585	Y (0.768)	-	-	Cytoplasmic effector
FUN_001586-T1 FUN_001586	Y (0.692)	-	-	Cytoplasmic effector
FUN_001587-T1 FUN_001587	-	-	Y (0.598)	Non-effector
FUN_001588-T1 FUN_001588	Y (0.843)	-	-	Cytoplasmic effector
FUN_001589-T1 FUN_001589	-	-	Y (0.898)	Non-effector
FUN_001590-T1 FUN_001590	-	-	Y (0.928)	Non-effector
FUN_001591-T1 FUN_001591	-	-	Y (0.526)	Non-effector
FUN_001592-T1 FUN_001592	-	-	Y (0.74)	Non-effector
FUN_001593-T1 FUN_001593	-	-	Y (0.513)	Non-effector
FUN_001594-T1 FUN_001594	-	-	Y (0.875)	Non-effector
FUN_001594-T2 FUN_001594	-	-	Y (0.845)	Non-effector
FUN_001595-T1 FUN_001595	-	-	Y (0.596)	Non-effector
FUN_001596-T1 FUN_001596	-	-	Y (0.642)	Non-effector
FUN_001597-T1 FUN_001597	-	-	Y (0.951)	Non-effector
FUN_001598-T1 FUN_001598	Y (0.74)	-	-	Cytoplasmic effector
FUN_001599-T1 FUN_001599	-	-	Y (0.553)	Non-effector
FUN_001600-T1 FUN_001600	-	-	Y (0.818)	Non-effector
FUN_001601-T1 FUN_001601	-	-	Y (0.831)	Non-effector
FUN_001602-T1 FUN_001602	-	-	Y (0.687)	Non-effector
FUN_001603-T1 FUN_001603	-	-	Y (0.87)	Non-effector
FUN_001603-T2 FUN_001603	-	-	Y (0.869)	Non-effector
FUN_001603-T3 FUN_001603	-	-	Y (0.803)	Non-effector
FUN_001604-T1 FUN_001604	-	-	Y (0.759)	Non-effector
FUN_001605-T1 FUN_001605	-	-	Y (0.741)	Non-effector
FUN_001606-T1 FUN_001606	-	-	Y (0.833)	Non-effector
FUN_001607-T1 FUN_001607	-	-	Y (0.961)	Non-effector
FUN_001608-T1 FUN_001608	-	-	Y (0.646)	Non-effector
FUN_001609-T1 FUN_001609	-	-	Y (0.852)	Non-effector
FUN_001610-T1 FUN_001610	-	-	Y (0.922)	Non-effector
FUN_001611-T1 FUN_001611	Y (0.919)	-	-	Cytoplasmic effector
FUN_001612-T1 FUN_001612	Y (0.918)	-	-	Cytoplasmic effector
FUN_001613-T1 FUN_001613	-	-	Y (0.801)	Non-effector
FUN_001613-T2 FUN_001613	-	-	Y (0.754)	Non-effector
FUN_001614-T1 FUN_001614	Y (0.634)	-	-	Cytoplasmic effector
FUN_001615-T1 FUN_001615	Y (0.814)	-	-	Cytoplasmic effector
FUN_001616-T1 FUN_001616	-	-	Y (0.53)	Non-effector
FUN_001617-T1 FUN_001617	Y (0.713)	-	-	Cytoplasmic effector
FUN_001618-T1 FUN_001618	-	-	Y (0.93)	Non-effector
FUN_001619-T1 FUN_001619	-	-	Y (0.681)	Non-effector
FUN_001620-T1 FUN_001620	Y (0.77)	-	-	Cytoplasmic effector
FUN_001621-T1 FUN_001621	-	-	Y (0.932)	Non-effector
FUN_001622-T1 FUN_001622	-	-	Y (0.874)	Non-effector
FUN_001623-T1 FUN_001623	-	-	Y (0.695)	Non-effector
FUN_001624-T1 FUN_001624	-	-	Y (0.893)	Non-effector
FUN_001625-T1 FUN_001625	-	-	Y (0.865)	Non-effector
FUN_001626-T1 FUN_001626	-	-	Y (0.583)	Non-effector
FUN_001627-T1 FUN_001627	-	-	Y (0.956)	Non-effector
FUN_001628-T1 FUN_001628	Y (0.66)	-	-	Cytoplasmic effector
FUN_001629-T1 FUN_001629	Y (0.705)	-	-	Cytoplasmic effector
FUN_001629-T2 FUN_001629	Y (0.702)	-	-	Cytoplasmic effector
FUN_001630-T1 FUN_001630	Y (0.772)	-	-	Cytoplasmic effector
FUN_001631-T1 FUN_001631	-	-	Y (0.645)	Non-effector
FUN_001632-T1 FUN_001632	-	-	Y (0.986)	Non-effector
FUN_001632-T2 FUN_001632	-	-	Y (0.985)	Non-effector
FUN_001633-T1 FUN_001633	-	-	Y (0.983)	Non-effector
FUN_001634-T1 FUN_001634	-	-	Y (0.984)	Non-effector
FUN_001635-T1 FUN_001635	-	-	Y (0.844)	Non-effector
FUN_001636-T1 FUN_001636	Y (0.918)	-	-	Cytoplasmic effector
FUN_001637-T1 FUN_001637	-	-	Y (0.836)	Non-effector
FUN_001638-T1 FUN_001638	-	-	Y (0.706)	Non-effector
FUN_001639-T1 FUN_001639	Y (0.565)	-	-	Cytoplasmic effector
FUN_001640-T1 FUN_001640	-	-	Y (0.961)	Non-effector
FUN_001640-T2 FUN_001640	-	-	Y (0.926)	Non-effector
FUN_001641-T1 FUN_001641	Y (0.9)	-	-	Cytoplasmic effector
FUN_001642-T1 FUN_001642	-	-	Y (0.712)	Non-effector
FUN_001643-T1 FUN_001643	-	-	Y (0.957)	Non-effector
FUN_001644-T1 FUN_001644	Y (0.726)	-	-	Cytoplasmic effector
FUN_001645-T1 FUN_001645	Y (0.66)	-	-	Cytoplasmic effector
FUN_001646-T1 FUN_001646	-	-	Y (0.823)	Non-effector
FUN_001647-T1 FUN_001647	Y (0.91)	-	-	Cytoplasmic effector
FUN_001648-T1 FUN_001648	-	-	Y (0.615)	Non-effector
FUN_001649-T1 FUN_001649	Y (0.954)	-	-	Cytoplasmic effector
FUN_001650-T1 FUN_001650	Y (0.863)	-	-	Cytoplasmic effector
FUN_001651-T1 FUN_001651	-	-	Y (0.746)	Non-effector
FUN_001652-T1 FUN_001652	-	-	Y (0.839)	Non-effector
FUN_001653-T1 FUN_001653	-	-	Y (0.982)	Non-effector
FUN_001654-T1 FUN_001654	-	-	Y (0.819)	Non-effector
FUN_001655-T1 FUN_001655	Y (0.656)	-	-	Cytoplasmic effector
FUN_001656-T1 FUN_001656	Y (0.772)	-	-	Cytoplasmic effector
FUN_001657-T1 FUN_001657	-	-	Y (0.848)	Non-effector
FUN_001658-T1 FUN_001658	-	-	Y (0.818)	Non-effector
FUN_001659-T1 FUN_001659	-	-	Y (0.984)	Non-effector
FUN_001660-T1 FUN_001660	-	-	Y (0.892)	Non-effector
FUN_001661-T1 FUN_001661	-	-	Y (0.989)	Non-effector
FUN_001662-T1 FUN_001662	-	-	Y (0.52)	Non-effector
FUN_001663-T1 FUN_001663	-	-	Y (0.876)	Non-effector
FUN_001664-T1 FUN_001664	Y (0.723)	-	-	Cytoplasmic effector
FUN_001665-T1 FUN_001665	-	-	Y (0.986)	Non-effector
FUN_001666-T1 FUN_001666	-	-	Y (0.8)	Non-effector
FUN_001667-T1 FUN_001667	-	-	Y (0.644)	Non-effector
FUN_001668-T1 FUN_001668	-	-	Y (0.905)	Non-effector
FUN_001669-T1 FUN_001669	-	-	Y (0.942)	Non-effector
FUN_001670-T1 FUN_001670	-	-	Y (0.979)	Non-effector
FUN_001671-T1 FUN_001671	Y (0.721)	-	-	Cytoplasmic effector
FUN_001672-T1 FUN_001672	-	-	Y (0.67)	Non-effector
FUN_001673-T1 FUN_001673	Y (0.817)	-	-	Cytoplasmic effector
FUN_001674-T1 FUN_001674	-	Y (0.779)	-	Apoplastic effector
FUN_001675-T1 FUN_001675	-	-	Y (0.851)	Non-effector
FUN_001676-T1 FUN_001676	Y (0.589)	-	-	Cytoplasmic effector
FUN_001677-T1 FUN_001677	-	-	Y (0.936)	Non-effector
FUN_001678-T1 FUN_001678	-	-	Y (0.93)	Non-effector
FUN_001679-T1 FUN_001679	-	-	Y (0.951)	Non-effector
FUN_001680-T1 FUN_001680	-	-	Y (0.987)	Non-effector
FUN_001681-T1 FUN_001681	-	-	Y (0.882)	Non-effector
FUN_001682-T1 FUN_001682	-	-	Y (0.881)	Non-effector
FUN_001683-T1 FUN_001683	-	-	Y (0.981)	Non-effector
FUN_001684-T1 FUN_001684	Y (0.562)	Y (0.651)	-	Apoplastic/cytoplasmic effector
FUN_001685-T1 FUN_001685	-	-	Y (0.987)	Non-effector
FUN_001686-T1 FUN_001686	-	-	Y (0.694)	Non-effector
FUN_001687-T1 FUN_001687	-	-	Y (0.751)	Non-effector
FUN_001688-T1 FUN_001688	-	-	Y (0.978)	Non-effector
FUN_001689-T1 FUN_001689	-	-	Y (0.971)	Non-effector
FUN_001690-T1 FUN_001690	-	-	Y (0.986)	Non-effector
FUN_001691-T1 FUN_001691	-	-	Y (0.799)	Non-effector
FUN_001692-T1 FUN_001692	Y (0.895)	-	-	Cytoplasmic effector
FUN_001693-T1 FUN_001693	-	-	Y (0.895)	Non-effector
FUN_001694-T1 FUN_001694	-	-	Y (0.961)	Non-effector
FUN_001695-T1 FUN_001695	-	-	Y (0.958)	Non-effector
FUN_001696-T1 FUN_001696	-	-	Y (0.891)	Non-effector
FUN_001697-T1 FUN_001697	Y (0.787)	-	-	Cytoplasmic effector
FUN_001698-T1 FUN_001698	-	-	Y (0.602)	Non-effector
FUN_001699-T1 FUN_001699	-	-	Y (0.596)	Non-effector
FUN_001700-T1 FUN_001700	Y (0.579)	-	-	Cytoplasmic effector
FUN_001701-T1 FUN_001701	-	-	Y (0.985)	Non-effector
FUN_001702-T1 FUN_001702	Y (0.528)	-	-	Cytoplasmic effector
FUN_001703-T1 FUN_001703	-	-	Y (0.981)	Non-effector
FUN_001704-T1 FUN_001704	-	-	Y (0.739)	Non-effector
FUN_001705-T1 FUN_001705	-	-	Y (0.757)	Non-effector
FUN_001706-T1 FUN_001706	-	-	Y (0.854)	Non-effector
FUN_001707-T1 FUN_001707	-	-	Y (0.959)	Non-effector
FUN_001708-T1 FUN_001708	-	Y (0.912)	-	Apoplastic effector
FUN_001709-T1 FUN_001709	-	Y (0.865)	-	Apoplastic effector
FUN_001710-T1 FUN_001710	-	-	Y (0.956)	Non-effector
FUN_001711-T1 FUN_001711	-	-	Y (0.901)	Non-effector
FUN_001711-T2 FUN_001711	-	-	Y (0.932)	Non-effector
FUN_001712-T1 FUN_001712	-	-	Y (0.71)	Non-effector
FUN_001713-T1 FUN_001713	-	-	Y (0.931)	Non-effector
FUN_001714-T1 FUN_001714	Y (0.983)	-	-	Cytoplasmic effector
FUN_001715-T1 FUN_001715	-	-	Y (0.793)	Non-effector
FUN_001716-T1 FUN_001716	Y (0.547)	-	-	Cytoplasmic effector
FUN_001717-T1 FUN_001717	Y (0.814)	-	-	Cytoplasmic effector
FUN_001718-T1 FUN_001718	Y (0.598)	-	-	Cytoplasmic effector
FUN_001719-T1 FUN_001719	Y (0.685)	-	-	Cytoplasmic effector
FUN_001720-T1 FUN_001720	-	-	Y (0.538)	Non-effector
FUN_001720-T2 FUN_001720	-	-	Y (0.563)	Non-effector
FUN_001721-T1 FUN_001721	-	-	Y (0.938)	Non-effector
FUN_001722-T1 FUN_001722	Y (0.863)	-	-	Cytoplasmic effector
FUN_001723-T1 FUN_001723	-	-	Y (0.516)	Non-effector
FUN_001724-T1 FUN_001724	-	-	Y (0.95)	Non-effector
FUN_001725-T1 FUN_001725	Y (0.661)	-	-	Cytoplasmic effector
FUN_001726-T1 FUN_001726	Y (0.897)	-	-	Cytoplasmic effector
FUN_001727-T1 FUN_001727	-	Y (0.642)	-	Apoplastic effector
FUN_001728-T1 FUN_001728	Y (0.87)	Y (0.514)	-	Cytoplasmic/apoplastic effector
FUN_001729-T1 FUN_001729	-	-	Y (0.517)	Non-effector
FUN_001730-T1 FUN_001730	Y (0.621)	-	-	Cytoplasmic effector
FUN_001731-T1 FUN_001731	-	-	Y (0.93)	Non-effector
FUN_001732-T1 FUN_001732	-	-	Y (0.823)	Non-effector
FUN_001733-T1 FUN_001733	-	-	Y (0.751)	Non-effector
FUN_001734-T1 FUN_001734	-	-	Y (0.611)	Non-effector
FUN_001735-T1 FUN_001735	-	-	Y (0.68)	Non-effector
FUN_001736-T1 FUN_001736	-	-	Y (0.988)	Non-effector
FUN_001737-T1 FUN_001737	-	-	Y (0.903)	Non-effector
FUN_001738-T1 FUN_001738	-	-	Y (0.801)	Non-effector
FUN_001739-T1 FUN_001739	-	-	Y (0.694)	Non-effector
FUN_001740-T1 FUN_001740	Y (0.533)	-	-	Cytoplasmic effector
FUN_001741-T1 FUN_001741	-	-	Y (0.987)	Non-effector
FUN_001742-T1 FUN_001742	-	-	Y (0.988)	Non-effector
FUN_001743-T1 FUN_001743	Y (0.5)	-	-	Cytoplasmic effector
FUN_001744-T1 FUN_001744	Y (0.688)	-	-	Cytoplasmic effector
FUN_001745-T1 FUN_001745	Y (0.845)	-	-	Cytoplasmic effector
FUN_001746-T1 FUN_001746	-	-	Y (0.93)	Non-effector
FUN_001747-T1 FUN_001747	-	-	Y (0.737)	Non-effector
FUN_001748-T1 FUN_001748	Y (0.746)	-	-	Cytoplasmic effector
FUN_001749-T1 FUN_001749	-	-	Y (0.944)	Non-effector
FUN_001750-T1 FUN_001750	-	-	Y (0.876)	Non-effector
FUN_001751-T1 FUN_001751	-	-	Y (0.916)	Non-effector
FUN_001752-T1 FUN_001752	Y (0.742)	-	-	Cytoplasmic effector
FUN_001753-T1 FUN_001753	-	-	Y (0.894)	Non-effector
FUN_001754-T1 FUN_001754	-	-	Y (0.835)	Non-effector
FUN_001755-T1 FUN_001755	-	-	Y (0.965)	Non-effector
FUN_001756-T1 FUN_001756	-	-	Y (0.92)	Non-effector
FUN_001757-T1 FUN_001757	Y (0.622)	-	-	Cytoplasmic effector
FUN_001758-T1 FUN_001758	-	-	Y (0.881)	Non-effector
FUN_001759-T1 FUN_001759	-	-	Y (0.721)	Non-effector
FUN_001760-T1 FUN_001760	Y (0.854)	-	-	Cytoplasmic effector
FUN_001761-T1 FUN_001761	-	-	Y (0.734)	Non-effector
FUN_001761-T2 FUN_001761	-	-	Y (0.66)	Non-effector
FUN_001762-T1 FUN_001762	-	-	Y (0.922)	Non-effector
FUN_001763-T1 FUN_001763	-	-	Y (0.846)	Non-effector
FUN_001764-T1 FUN_001764	-	-	Y (0.988)	Non-effector
FUN_001765-T1 FUN_001765	-	-	Y (0.817)	Non-effector
FUN_001766-T1 FUN_001766	Y (0.763)	-	-	Cytoplasmic effector
FUN_001767-T1 FUN_001767	-	-	Y (0.988)	Non-effector
FUN_001768-T1 FUN_001768	-	-	Y (0.988)	Non-effector
FUN_001769-T1 FUN_001769	-	-	Y (0.887)	Non-effector
FUN_001770-T1 FUN_001770	Y (0.633)	-	-	Cytoplasmic effector
FUN_001771-T1 FUN_001771	Y (0.756)	-	-	Cytoplasmic effector
FUN_001772-T1 FUN_001772	-	-	Y (0.904)	Non-effector
FUN_001773-T1 FUN_001773	-	-	Y (0.677)	Non-effector
FUN_001774-T1 FUN_001774	-	-	Y (0.829)	Non-effector
FUN_001775-T1 FUN_001775	-	-	Y (0.908)	Non-effector
FUN_001776-T1 FUN_001776	-	-	Y (0.534)	Non-effector
FUN_001777-T1 FUN_001777	-	-	Y (0.874)	Non-effector
FUN_001778-T1 FUN_001778	-	-	Y (0.872)	Non-effector
FUN_001779-T1 FUN_001779	-	-	Y (0.719)	Non-effector
FUN_001780-T1 FUN_001780	-	-	Y (0.771)	Non-effector
FUN_001781-T1 FUN_001781	Y (0.72)	-	-	Cytoplasmic effector
FUN_001782-T1 FUN_001782	Y (0.747)	-	-	Cytoplasmic effector
FUN_001783-T1 FUN_001783	Y (0.862)	-	-	Cytoplasmic effector
FUN_001784-T1 FUN_001784	-	-	Y (0.922)	Non-effector
FUN_001785-T1 FUN_001785	-	-	Y (0.64)	Non-effector
FUN_001786-T1 FUN_001786	Y (0.694)	-	-	Cytoplasmic effector
FUN_001787-T1 FUN_001787	-	-	Y (0.987)	Non-effector
FUN_001788-T1 FUN_001788	-	-	Y (0.967)	Non-effector
FUN_001789-T1 FUN_001789	-	-	Y (0.8)	Non-effector
FUN_001789-T2 FUN_001789	-	-	Y (0.783)	Non-effector
FUN_001790-T1 FUN_001790	-	-	Y (0.974)	Non-effector
FUN_001791-T1 FUN_001791	Y (0.764)	-	-	Cytoplasmic effector
FUN_001792-T1 FUN_001792	-	-	Y (0.551)	Non-effector
FUN_001793-T1 FUN_001793	-	-	Y (0.818)	Non-effector
FUN_001794-T1 FUN_001794	-	-	Y (0.988)	Non-effector
FUN_001795-T1 FUN_001795	-	-	Y (0.987)	Non-effector
FUN_001796-T1 FUN_001796	-	-	Y (0.801)	Non-effector
FUN_001797-T1 FUN_001797	-	-	Y (0.96)	Non-effector
FUN_001798-T1 FUN_001798	Y (0.853)	-	-	Cytoplasmic effector
FUN_001799-T1 FUN_001799	-	-	Y (0.72)	Non-effector
FUN_001800-T1 FUN_001800	-	-	Y (0.927)	Non-effector
FUN_001800-T2 FUN_001800	-	-	Y (0.98)	Non-effector
FUN_001801-T1 FUN_001801	Y (0.653)	-	-	Cytoplasmic effector
FUN_001802-T1 FUN_001802	-	-	Y (0.988)	Non-effector
FUN_001803-T1 FUN_001803	-	-	Y (0.862)	Non-effector
FUN_001804-T1 FUN_001804	Y (0.801)	-	-	Cytoplasmic effector
FUN_001805-T1 FUN_001805	-	-	Y (0.814)	Non-effector
FUN_001806-T1 FUN_001806	-	-	Y (0.901)	Non-effector
FUN_001806-T2 FUN_001806	-	-	Y (0.927)	Non-effector
FUN_001808-T1 FUN_001808	-	-	Y (0.819)	Non-effector
FUN_001809-T1 FUN_001809	-	-	Y (0.988)	Non-effector
FUN_001809-T2 FUN_001809	-	-	Y (0.988)	Non-effector
FUN_001810-T1 FUN_001810	-	-	Y (0.958)	Non-effector
FUN_001811-T1 FUN_001811	-	-	Y (0.747)	Non-effector
FUN_001811-T2 FUN_001811	-	-	Y (0.555)	Non-effector
FUN_001812-T1 FUN_001812	-	-	Y (0.953)	Non-effector
FUN_001813-T1 FUN_001813	-	-	Y (0.717)	Non-effector
FUN_001814-T1 FUN_001814	-	-	Y (0.501)	Non-effector
FUN_001815-T1 FUN_001815	-	-	Y (0.885)	Non-effector
FUN_001816-T1 FUN_001816	-	-	Y (0.67)	Non-effector
FUN_001817-T1 FUN_001817	-	-	Y (0.801)	Non-effector
FUN_001818-T1 FUN_001818	Y (0.734)	-	-	Cytoplasmic effector
FUN_001819-T1 FUN_001819	Y (0.71)	-	-	Cytoplasmic effector
FUN_001820-T1 FUN_001820	-	-	Y (0.839)	Non-effector
FUN_001820-T2 FUN_001820	-	-	Y (0.966)	Non-effector
